,artist_genre,artist_name,time_range,track_id,track_name
79,classical performance,Borodin Quartet,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace"
80,string quartet,Borodin Quartet,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace"
81,classical,Felix Mendelssohn,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante"
82,early romantic era,Felix Mendelssohn,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante"
83,c-pop,Leslie Cheung,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人
84,cantopop,Leslie Cheung,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人
85,classic cantopop,Leslie Cheung,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人
86,detroit hip hop,Eminem,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
87,g funk,Eminem,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
88,hip hop,Eminem,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
89,rap,Eminem,short_term,2XTquzYQAdT1Hk78bOUwsv,Greatest
90,g funk,Dr. Dre,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode
91,gangster rap,Dr. Dre,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode
92,hip hop,Dr. Dre,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode
93,rap,Dr. Dre,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode
94,west coast rap,Dr. Dre,short_term,4LwU4Vp6od3Sb08CsP99GC,The Next Episode
95,classical,Felix Mendelssohn,short_term,5JruqgGPc5ImJixUyFRHr7,"Piano Concerto No. 1 in G Minor, Op. 25, MWV O7: 3. Presto"
96,early romantic era,Felix Mendelssohn,short_term,5JruqgGPc5ImJixUyFRHr7,"Piano Concerto No. 1 in G Minor, Op. 25, MWV O7: 3. Presto"
97,c-pop,Leslie Cheung,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲"
98,cantopop,Leslie Cheung,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲"
99,classic cantopop,Leslie Cheung,short_term,5OTlZY4moBdA3UttjlZBU9,"緣份 - 電影 ""緣份"" 主題曲"
100,c-pop,Leslie Cheung,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹
101,cantopop,Leslie Cheung,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹
102,classic cantopop,Leslie Cheung,short_term,5RLv04XXxe0Nc4W7DTBJGT,風繼續吹
103,g funk,Dr. Dre,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz
104,gangster rap,Dr. Dre,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz
105,hip hop,Dr. Dre,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz
106,rap,Dr. Dre,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz
107,west coast rap,Dr. Dre,short_term,5XkeTGKcCkGF8l6fA9YpsS,Bitch Niggaz
108,classical,Felix Mendelssohn,short_term,72dgfW1USZQy5liiRxkeS7,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: II. Adagio - Molto sostenuto"
109,early romantic era,Felix Mendelssohn,short_term,72dgfW1USZQy5liiRxkeS7,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: II. Adagio - Molto sostenuto"
110,alternative r&b,Mac Ayres,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details
111,indie r&b,Mac Ayres,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details
112,indie soul,Mac Ayres,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details
113,classical,Felix Mendelssohn,short_term,1hpzM9mfQr9cZQBYJo9B1M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: III. Presto"
114,early romantic era,Felix Mendelssohn,short_term,1hpzM9mfQr9cZQBYJo9B1M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: III. Presto"
115,c-pop,Leslie Cheung,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)"
116,cantopop,Leslie Cheung,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)"
117,classic cantopop,Leslie Cheung,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)"
118,classical,Sergei Rachmaninoff,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace"
119,post-romantic era,Sergei Rachmaninoff,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace"
120,russian romanticism,Sergei Rachmaninoff,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace"
121,ukrainian classical,Sergei Rachmaninoff,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace"
122,classical,Felix Mendelssohn,short_term,5dx08KrsyuIdg6LtjuZSfC,"Rondo brillant in E-Flat Major, Op. 29"
123,early romantic era,Felix Mendelssohn,short_term,5dx08KrsyuIdg6LtjuZSfC,"Rondo brillant in E-Flat Major, Op. 29"
124,chicago rap,Kanye West,short_term,2QpGZOhTCHHiKmpSO9FW4h,Follow God
125,rap,Kanye West,short_term,2QpGZOhTCHHiKmpSO9FW4h,Follow God
126,k-hop,Zion.T,short_term,0q3xk0VI0w7omVXYA09sVw,Eat
127,k-indie,Zion.T,short_term,0q3xk0VI0w7omVXYA09sVw,Eat
128,k-pop,Zion.T,short_term,0q3xk0VI0w7omVXYA09sVw,Eat
129,korean pop,Zion.T,short_term,0q3xk0VI0w7omVXYA09sVw,Eat
130,korean r&b,Zion.T,short_term,0q3xk0VI0w7omVXYA09sVw,Eat
131,late romantic era,Pablo de Sarasate,short_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24
132,violin,Pablo de Sarasate,short_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24
133,classical,Felix Mendelssohn,short_term,6vO4D4UBaUDrK3gBFUOUCU,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: III. Finale: Presto scherzando"
134,early romantic era,Felix Mendelssohn,short_term,6vO4D4UBaUDrK3gBFUOUCU,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: III. Finale: Presto scherzando"
135,j-pop,ONE OK ROCK,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku
136,j-rock,ONE OK ROCK,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku
137,visual kei,ONE OK ROCK,short_term,08d7Ulc4Lra4rOa9oQtFML,Mikansei koukyoukyoku
138,conscious hip hop,Kendrick Lamar,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta
139,hip hop,Kendrick Lamar,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta
140,rap,Kendrick Lamar,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta
141,west coast rap,Kendrick Lamar,short_term,0N3W5peJUQtI4eyR6GJT5O,King Kunta
142,catstep,Nitro Fun,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes
143,complextro,Nitro Fun,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes
144,deep dubstep,Nitro Fun,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes
145,edm,Nitro Fun,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes
146,electro house,Nitro Fun,short_term,0VV4lfEdeV4PEAjuQH72N8,Cheat Codes
147,adult standards,Michael Bublé,short_term,1WqsREavcr6qHA8oAbnaIa,That's Life
148,canadian pop,Michael Bublé,short_term,1WqsREavcr6qHA8oAbnaIa,That's Life
149,lounge,Michael Bublé,short_term,1WqsREavcr6qHA8oAbnaIa,That's Life
