,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
46,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer,0.0383,0.668,0.739,0.0,4,0.13,-4.919,1,0.0308,131.918,0.571,47,medium_term,6Vecwo7AHst9V2CE3kmwr0,No Such Thing,66,2001-08-16,E
47,[],Nito,0.554,0.785,0.508,0.75,0,0.424,-15.771,0,0.0588,97.477,0.533,48,medium_term,6rvfF5VtVI4ZEdORSori7l,Where am I,36,2018-08-12,C
48,"['contemporary jazz', 'contemporary post-bop', 'japanese jazz', 'jazz funk', 'jazz fusion']",Hiromi,0.993,0.299,0.0919,0.938,7,0.0983,-22.014,1,0.041,104.526,0.107,49,medium_term,1NpTkYFGPrYb9FRNGjLVyJ,Blackbird,38,2019-09-18,G
49,"['indie r&b', 'pop']",Bruno Major,0.491,0.772,0.256,0.00612,7,0.144,-8.545,0,0.0481,118.902,0.357,50,medium_term,2k9N4caeCIJLOWwWwssrEM,Easily,75,2017-08-31,G
0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Offset,0.149,0.88,0.428,5.07e-05,9,0.114,-8.28,1,0.206,100.007,0.333,1,long_term,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),83,2017-10-30,A
1,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",The Game,0.127,0.753,0.905,0.0,6,0.269,-3.311,0,0.239,127.069,0.585,2,long_term,2tbvAGoLMQgjvfgW7naBiE,El Chapo,61,2016-01-22,F#
2,['turntablism'],C2C,0.0672,0.72,0.595,4.73e-05,2,0.0775,-6.109,0,0.0976,111.0,0.486,3,long_term,1SayqEg8HKK2IeIEWjdYxY,Down The Road,55,2012-01-01,D
3,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",Eminem,0.0441,0.809,0.737,0.0,1,0.341,-5.186,1,0.108,80.025,0.367,4,long_term,2XTquzYQAdT1Hk78bOUwsv,Greatest,73,2018-08-31,C#
4,"['cali rap', 'gangster rap', 'hyphy', 'rap', 'southern hip hop', 'trap', 'west coast trap']",Problem,0.0539,0.837,0.788,2.31e-06,10,0.27,-6.289,0,0.153,100.053,0.311,5,long_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,A#
5,"['k-hop', 'k-indie', 'k-pop', 'korean pop', 'korean r&b']",Zion.T,0.411,0.758,0.402,0.0,9,0.217,-5.066,1,0.0459,92.109,0.519,6,long_term,6yEfq48XkEzCg0TwY6Hhkb,No Make Up,1,2015-10-12,A
6,"['k-hop', 'k-indie', 'k-pop', 'korean pop']",Primary,0.12,0.797,0.741,0.0,1,0.119,-5.794,1,0.0906,105.023,0.823,7,long_term,4gG5sukldSPM3sX0OTpTeT,"Love (feat. Bumkey, Paloalto)",0,2013-08-02,C#
7,"['j-pop', 'j-rock', 'visual kei']",ONE OK ROCK,0.000191,0.558,0.914,0.0,6,0.132,-3.395,0,0.0996,94.975,0.711,8,long_term,1XT0cpl9g0GuRQJao2nqXd,Kanzen kankaku Dreamer,54,2010-06-09,F#
8,"['k-indie', 'korean pop']",Jungkey,0.731,0.621,0.506,1.82e-06,5,0.183,-5.865,0,0.0361,117.822,0.37,9,long_term,3aNsBkmdh6MO8UkLd42BUA,I Don't Want,37,2018-12-05,F
9,"['hip hop', 'indie pop rap', 'pop rap', 'rap']",G-Eazy,0.0117,0.838,0.771,0.0,1,0.0853,-3.791,1,0.244,175.957,0.405,10,long_term,2DQ1ITjI0YoLFzuADN1ZBW,No Limit,78,2017-12-15,C#
10,"['j-pop', 'j-rock']",KANA-BOON,0.0002,0.471,0.77,0.00308,6,0.0974,-3.783,0,0.102,174.85,0.529,11,long_term,1dsh4buvcBs2u7YtHy29c7,ないものねだり,62,2013-04-24,F#
11,"['k-hop', 'k-indie', 'korean r&b']",Giriboy,0.0538,0.894,0.508,9.45e-06,6,0.0745,-5.4,1,0.224,90.002,0.24,12,long_term,1VrpAZL277l0gnTBhSd3TH,Sooljalee,48,2016-11-16,F#
