,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
57,19,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,85,2017-04-14,conscious hip hop,Kendrick Lamar,C#,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,4
58,19,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,85,2017-04-14,hip hop,Kendrick Lamar,C#,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,4
59,19,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,85,2017-04-14,rap,Kendrick Lamar,C#,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,4
60,19,short_term,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,85,2017-04-14,west coast rap,Kendrick Lamar,C#,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,4
61,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,cali rap,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
62,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,gangster rap,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
63,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,hyphy,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
64,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,rap,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
65,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,southern hip hop,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
66,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,trap,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
67,20,short_term,66kSqGS2iwHK20sxjrZct4,Better Watch Yo Self,47,2017-01-20,west coast trap,Problem,A#,0.8370000000000001,0.7879999999999999,10,-6.289,0,0.153,0.0539,2.31e-06,0.27,0.311,100.053,7
68,21,short_term,1XlvyqVNz36t1CyWF3HQIM,"Capriccio brillant in B Minor, Op. 22",10,1993-11-16,classical,Felix Mendelssohn,B,0.392,0.129,11,-21.389,0,0.0368,0.982,0.9279999999999999,0.11800000000000001,0.0952,139.804,2
69,21,short_term,1XlvyqVNz36t1CyWF3HQIM,"Capriccio brillant in B Minor, Op. 22",10,1993-11-16,early romantic era,Felix Mendelssohn,B,0.392,0.129,11,-21.389,0,0.0368,0.982,0.9279999999999999,0.11800000000000001,0.0952,139.804,2
70,22,short_term,2OD4MN67xEcDZlZRedolTB,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: I. Allegro appassionato",13,1993-11-16,classical,Felix Mendelssohn,D,0.39299999999999996,0.158,2,-19.976,0,0.0374,0.988,0.938,0.0934,0.0659,74.422,2
71,22,short_term,2OD4MN67xEcDZlZRedolTB,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: I. Allegro appassionato",13,1993-11-16,early romantic era,Felix Mendelssohn,D,0.39299999999999996,0.158,2,-19.976,0,0.0374,0.988,0.938,0.0934,0.0659,74.422,2
72,23,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill,11,2015-09-25,classical,Fritz Kreisler,G,0.337,0.22899999999999998,7,-13.939,0,0.0392,0.982,0.126,0.214,0.253,97.926,3
73,23,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill,11,2015-09-25,post-romantic era,Fritz Kreisler,G,0.337,0.22899999999999998,7,-13.939,0,0.0392,0.982,0.126,0.214,0.253,97.926,3
74,23,short_term,2TWxKZIa9HvlLI6xbSVUQF,Tartini: The Devil's Trill,11,2015-09-25,violin,Fritz Kreisler,G,0.337,0.22899999999999998,7,-13.939,0,0.0392,0.982,0.126,0.214,0.253,97.926,3
75,24,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini,10,2015-09-25,classical,Fritz Kreisler,F,0.27899999999999997,0.154,5,-16.05,1,0.0465,0.9740000000000001,0.11199999999999999,0.0858,0.166,108.928,3
76,24,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini,10,2015-09-25,post-romantic era,Fritz Kreisler,F,0.27899999999999997,0.154,5,-16.05,1,0.0465,0.9740000000000001,0.11199999999999999,0.0858,0.166,108.928,3
77,24,short_term,7mqqI1Siu6ZOdC2KgOGGud,Kreisler: Andantino - in the style of Martini,10,2015-09-25,violin,Fritz Kreisler,F,0.27899999999999997,0.154,5,-16.05,1,0.0465,0.9740000000000001,0.11199999999999999,0.0858,0.166,108.928,3
78,25,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace",37,2000-11-01,classical,Borodin Quartet,D,0.40700000000000003,0.262,2,-17.011,0,0.0546,0.9079999999999999,0.652,0.0625,0.441,140.629,3
79,25,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace",37,2000-11-01,classical performance,Borodin Quartet,D,0.40700000000000003,0.262,2,-17.011,0,0.0546,0.9079999999999999,0.652,0.0625,0.441,140.629,3
80,25,short_term,6BebarNIdE5FfxXDlPpZ5y,"Souvenir De Florence, Op. 70: IV. Allegro Vivace",37,2000-11-01,string quartet,Borodin Quartet,D,0.40700000000000003,0.262,2,-17.011,0,0.0546,0.9079999999999999,0.652,0.0625,0.441,140.629,3
81,26,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante",15,1993-11-16,classical,Felix Mendelssohn,E,0.223,0.0112,4,-34.058,1,0.0357,0.986,0.934,0.0849,0.0461,85.57600000000001,2
82,26,short_term,1AePIQwSF64zof6xXPSO6M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: II. Andante",15,1993-11-16,early romantic era,Felix Mendelssohn,E,0.223,0.0112,4,-34.058,1,0.0357,0.986,0.934,0.0849,0.0461,85.57600000000001,2
83,27,short_term,1eMujWp9h2cSEPIiO6xOhN,有心人,47,1996-11-26,c-pop,Leslie Cheung,C,0.541,0.38,0,-12.094000000000001,1,0.027000000000000003,0.716,9.56e-06,0.32899999999999996,0.192,72.015,3
